Temperature   	Mass18	Mass51	Mass67	Mass28
3.1564E+2	7.3663E-11	9.2167E-12	8.5980E-13	1.2474E-10
3.1569E+2	5.9630E-11	4.6272E-12	1.6172E-12	1.0235E-10
3.1544E+2	7.0648E-11	1.0891E-11	5.9770E-12	8.2279E-11
3.1572E+2	8.9621E-11	6.0502E-12	1.8142E-12	1.4470E-10
3.1575E+2	1.1488E-10	9.3531E-12	1.7514E-12	1.1316E-10
3.1552E+2	2.3970E-11	7.9971E-12	3.7167E-12	1.6929E-10
3.1558E+2	5.8280E-11	1.2218E-11	7.4517E-12	1.0953E-10
3.1566E+2	7.6460E-11	6.7433E-12	1.8938E-12	5.3420E-11
3.1553E+2	1.2628E-10	6.8706E-12	1.8528E-12	1.2773E-10
3.1546E+2	5.8671E-11	7.5254E-12	1.0017E-11	9.0518E-11
3.1562E+2	9.7536E-11	5.0558E-12	1.6380E-12	1.5437E-10
3.1546E+2	9.3069E-11	8.4455E-12	6.2531E-12	1.3626E-10
3.1579E+2	1.7246E-10	4.5808E-12	2.3814E-12	1.2837E-10
3.1550E+2	1.3972E-10	1.3486E-12	2.2441E-12	1.0412E-10
3.1562E+2	1.1079E-10	2.7850E-12	6.6567E-12	1.8245E-10
3.1565E+2	1.1272E-10	7.0615E-12	2.0586E-12	9.8347E-11
3.1562E+2	8.3870E-11	5.7399E-12	1.9142E-12	9.8082E-11
3.1578E+2	1.5719E-10	5.2878E-12	1.1869E-11	9.7224E-11
3.1551E+2	1.2762E-10	7.4708E-12	5.4172E-12	1.2620E-10
3.1572E+2	1.2823E-10	1.0125E-11	8.9884E-12	1.3090E-10
3.1562E+2	5.8796E-11	7.1778E-12	6.7370E-12	9.6264E-11
3.1580E+2	8.2457E-11	1.3084E-11	3.8971E-12	4.8518E-11
3.1575E+2	3.1863E-11	2.9331E-12	8.8854E-12	1.2861E-10
3.1575E+2	5.9392E-11	1.6841E-12	1.5688E-12	1.1037E-10
3.1564E+2	6.2160E-11	7.8475E-12	6.8700E-13	8.1806E-11
3.1588E+2	1.0107E-10	6.5353E-12	2.1614E-12	1.4007E-10
3.1563E+2	9.0004E-11	5.6345E-12	1.7452E-12	9.7868E-11
3.1581E+2	1.2574E-10	1.0054E-11	1.0465E-11	1.4569E-10
3.1578E+2	7.2280E-11	8.4429E-12	8.4377E-12	1.2869E-10
3.1564E+2	1.0326E-10	6.5723E-12	2.1900E-12	8.0237E-11
3.1568E+2	5.8102E-11	5.1756E-12	1.0668E-11	1.0889E-10
3.1568E+2	5.0925E-11	6.7219E-12	8.0312E-12	1.0783E-10
3.1584E+2	7.5003E-11	7.5758E-12	1.1713E-11	1.2177E-10
3.1599E+2	5.1160E-11	8.0498E-12	8.7779E-12	1.2047E-10
3.1597E+2	9.3777E-11	7.3112E-12	1.9761E-12	8.4483E-11
3.1613E+2	8.4959E-11	8.7773E-12	1.9963E-12	6.2200E-11
3.1585E+2	1.1092E-10	9.9073E-12	7.9692E-12	1.0024E-10
3.1595E+2	8.0021E-11	9.5786E-12	8.2972E-12	1.0381E-10
3.1600E+2	3.3697E-11	1.0721E-11	1.6909E-12	8.5937E-11
3.1621E+2	8.4525E-11	9.8087E-12	9.1023E-12	1.2722E-10
3.1628E+2	8.3224E-11	5.5364E-12	1.9963E-12	8.4970E-11
3.1625E+2	1.3062E-10	3.7992E-12	2.8540E-12	1.2154E-10
3.1615E+2	1.0388E-10	8.0877E-12	1.4107E-11	6.9581E-11
3.1616E+2	7.4865E-11	8.7264E-12	1.7359E-12	7.8334E-11
3.1623E+2	1.2293E-10	7.4177E-12	6.8866E-12	9.1823E-11
3.1637E+2	1.0068E-10	5.6099E-12	1.7313E-12	1.2371E-10
3.1658E+2	4.6773E-11	2.4329E-12	1.2087E-12	7.2698E-11
3.1666E+2	9.2905E-11	7.3994E-12	2.0998E-12	1.0352E-10
3.1671E+2	6.2876E-11	2.0285E-12	8.2152E-12	7.8076E-11
3.1664E+2	9.5639E-11	9.1768E-12	1.2251E-11	1.2639E-10
3.1669E+2	9.7165E-11	5.4224E-12	7.1302E-12	9.4611E-11
3.1677E+2	9.3531E-11	7.2412E-12	2.3952E-12	1.4601E-10
3.1677E+2	7.2104E-11	4.8291E-12	7.8942E-12	8.5506E-11
3.1689E+2	6.1222E-11	5.1721E-12	6.2533E-12	4.5274E-11
3.1725E+2	8.8868E-11	3.6561E-12	2.8785E-12	9.2063E-11
3.1721E+2	8.9155E-11	5.2185E-12	3.2835E-12	1.2036E-10
3.1734E+2	6.3723E-11	8.2942E-12	6.0859E-12	7.4863E-11
3.1725E+2	7.2641E-11	6.6299E-12	9.2342E-12	8.6931E-11
3.1737E+2	8.5607E-11	8.9770E-12	8.1407E-12	1.0251E-10
3.1753E+2	1.0028E-10	6.5266E-12	1.0331E-11	1.3739E-10
3.1784E+2	8.0971E-11	6.5780E-12	1.0023E-11	1.3508E-10
3.1788E+2	6.2672E-11	6.4824E-12	2.9705E-12	1.0159E-10
3.1800E+2	9.6169E-11	7.3390E-12	2.1427E-12	7.9587E-11
3.1796E+2	1.7121E-10	6.2628E-12	7.6851E-12	1.1089E-10
3.1813E+2	8.8061E-11	9.6898E-12	1.5235E-11	1.8228E-10
3.1827E+2	6.8801E-11	7.0166E-12	2.0171E-12	1.0248E-10
3.1858E+2	1.2825E-10	5.3518E-12	2.0171E-12	1.0957E-10
3.1877E+2	7.9252E-11	7.4627E-12	1.0200E-11	8.8267E-11
3.1888E+2	5.2366E-11	7.3199E-12	1.6547E-12	1.5008E-10
3.1902E+2	6.9550E-11	3.9398E-12	1.3496E-12	1.2872E-10
3.1924E+2	1.4310E-10	4.2894E-12	8.9884E-12	1.0886E-10
3.1911E+2	6.5767E-11	3.8813E-12	2.0696E-12	1.6259E-10
3.1947E+2	1.0893E-10	3.7002E-12	5.1670E-12	1.0907E-10
3.1972E+2	1.6856E-10	6.8149E-12	1.1295E-12	1.4395E-10
3.1989E+2	5.2985E-11	5.3996E-12	2.0793E-12	9.1119E-11
3.1998E+2	7.1129E-11	2.9144E-12	7.5033E-12	1.1734E-10
3.1999E+2	1.5782E-10	3.8789E-12	6.0644E-12	1.1278E-10
3.2020E+2	8.9146E-11	1.1685E-11	5.2905E-12	9.2821E-11
3.2043E+2	7.0693E-11	4.4061E-12	5.8955E-12	1.0873E-10
3.2076E+2	9.2631E-11	7.6620E-12	7.4973E-12	1.3110E-10
3.2101E+2	5.1347E-11	8.7130E-12	7.6305E-12	1.0309E-10
3.2122E+2	5.8315E-11	9.7432E-12	8.1032E-12	1.4644E-10
3.2131E+2	6.1896E-11	6.0584E-12	2.1407E-12	8.6002E-11
3.2150E+2	1.2436E-10	8.8050E-12	6.7516E-12	1.6908E-10
3.2172E+2	1.0019E-10	7.5815E-12	1.8747E-12	9.2846E-11
3.2198E+2	8.8438E-11	2.7260E-12	8.2031E-12	8.5511E-11
3.2222E+2	8.6606E-11	7.8038E-12	8.0720E-12	1.3104E-10
3.2242E+2	7.7261E-11	9.3975E-12	2.0793E-12	1.2597E-10
3.2289E+2	8.5910E-11	3.1517E-12	1.5366E-12	1.3898E-10
3.2315E+2	9.7225E-11	3.5734E-12	8.4905E-12	1.4071E-10
